Time_ID,Hour,Minute
0,2200,11
1,2000,37
2,800,31
3,300,02
4,2100,18
5,300,59
6,800,33
7,2100,45
264,1000,40
9,200,07
10,1100,07
11,2000,07
12,2200,13
13,500,01
14,300,04
15,2100,29
16,300,41
17,300,53
18,700,18
19,1300,09
20,2200,03
21,1600,20
22,500,15
23,300,12
24,200,37
25,700,04
26,2300,43
27,2200,05
28,300,43
29,1900,24
30,200,10
31,000,07
32,400,45
33,1700,07
34,1000,54
35,1800,56
36,100,34
37,1700,01
38,1700,15
39,1800,40
40,2200,52
41,800,50
42,1900,32
43,1800,46
44,800,27
45,1100,54
46,400,43
47,2000,26
48,1000,42
49,1000,48
50,1300,12
51,1700,40
52,300,38
53,1700,42
54,800,07
1238,600,28
56,800,17
57,1100,46
58,1300,28
59,700,39
60,1200,57
61,1000,13
62,1200,22
63,1300,38
64,100,07
65,900,35
66,300,08
67,1200,51
68,1300,42
69,1100,48
70,200,51
71,800,19
72,400,53
73,300,25
74,2200,54
75,400,51
76,700,55
77,1700,17
78,300,27
79,1300,03
402,2200,48
81,2100,23
82,100,38
1428,1900,37
83,1300,05
84,000,27
85,700,49
86,1800,20
87,100,19
88,400,21
89,2000,44
90,400,27
91,600,55
92,2000,11
93,400,37
94,1300,59
95,600,43
96,2000,50
97,400,08
98,1200,45
99,000,50
100,1200,47
1003,1800,23
102,900,33
103,1800,34
104,900,23
105,2000,13
106,1000,19
107,100,23
108,900,21
109,300,36
110,100,21
111,200,44
112,500,44
113,1600,53
114,1500,23
115,1700,23
116,1900,59
117,600,04
118,1900,47
119,1600,55
120,500,42
121,1000,30
122,100,50
123,400,35
124,2000,56
125,600,45
678,600,59
127,1900,38
128,1000,32
129,2300,31
130,100,52
131,1500,59
132,2300,10
133,600,38
134,1400,28
135,1400,01
136,900,53
137,2100,44
138,1400,13
139,1500,38
140,700,12
141,500,52
142,1500,06
143,1400,52
144,1400,03
145,1200,40
146,500,34
147,1600,49
148,900,59
149,500,36
150,1900,41
151,1200,17
152,1400,15
153,1900,55
154,1500,47
155,600,24
156,1900,57
157,1200,49
158,600,26
159,1500,08
160,2100,10
161,1300,53
162,2200,42
163,1600,59
164,2100,06
165,500,09
166,700,25
167,2100,51
168,400,39
169,1400,42
170,1600,34
171,1400,19
172,700,10
173,400,02
174,1600,36
175,600,11
