Time_ID,Hour,Minute
0,1000,00
1,1100,00
2,200,00
3,400,00
4,900,00
5,900,30
6,600,00
7,1000,30
8,500,30
9,1200,00
10,700,00
11,1100,30
12,100,00
13,800,15
14,800,00
15,400,50
16,100,15
17,1200,01
18,300,36
19,400,30
20,800,30
21,200,20
22,1000,10
23,1100,45
24,300,00
25,1100,07
26,1100,55
27,800,23
28,400,20
29,400,24
30,700,45
31,100,20
32,100,30
33,400,40
34,1200,30
35,200,55
36,300,30
37,700,30
38,1100,46
39,1200,25
40,1000,50
41,1100,35
42,1200,10
43,700,16
44,300,15
45,200,30
46,1200,20
47,1100,10
48,1200,34
49,900,07
50,1000,12
51,600,45
52,800,05
53,700,50
54,600,30
55,500,00
56,600,40
57,700,04
58,400,22
59,300,53
60,100,12
61,900,05
62,1200,50
63,900,40
64,900,50
65,700,15
66,700,05
67,100,50
68,1200,05
69,1100,06
70,1000,28
71,1000,27
72,900,45
73,1000,45
74,500,35
75,300,25
76,100,45
77,200,40
78,200,26
79,300,45
80,1200,11
81,100,40
82,1100,19
83,700,10
84,700,35
85,400,15
86,500,32
87,100,10
88,300,54
89,300,50
90,500,20
91,300,20
92,1200,45
93,1100,32
94,600,15
95,600,20
96,100,35
97,600,50
98,800,16
99,900,20
100,600,28
101,200,45
102,500,25
103,400,05
104,500,15
105,200,29
106,200,50
107,500,37
108,400,17
109,200,27
110,1200,35
111,800,50
112,900,44
113,800,25
114,900,12
115,300,05
116,500,50
117,400,39
118,100,25
119,200,15
120,700,25
121,300,41
122,200,10
123,400,10
124,200,52
125,1000,40
126,500,19
127,500,45
128,400,44
129,700,52
130,1200,33
131,1200,55
132,500,10
133,300,10
134,200,05
135,1000,34
136,1200,19
137,1100,15
138,800,57
139,900,02
140,800,10
141,1000,15
142,900,01
143,1000,55
144,1200,15
145,1100,43
146,800,45
147,1000,41
148,1200,07
149,1000,58
150,900,10
151,1000,20
152,600,10
153,800,40
154,600,55
155,400,55
156,300,40
157,900,29
158,800,04
159,800,24
160,800,14
161,300,11
162,1200,14
163,700,26
164,400,09
165,200,58
166,600,41
167,900,03
168,900,15
169,700,34
170,200,37
171,1200,40
172,700,28
173,1000,37
174,1000,42
175,100,09
176,400,03
177,1100,20
178,300,14
179,500,46
